제품명,품목명,제조/수입,품목허가번호,허가일자,최종변경일,유효기간,갱신신청기한,메일 알람 (3M전)
"써지가드 오리지날(SurgiGuard
Original) 등",흡수성 체내용 지혈용품,제조,제허 25-352 호,2025-05-27,2025-12-22,2025-05-27 ~ 2030-05-26,2029-08-30 ~ 2029-11-28,2029-08-28
"Croquis PDO Volume(VV), 크로키 PDO Volume",폴리디옥사논봉합사,제조,제허 22-439 호,2022-07-08,2025-12-22,2022-07-08 ~ 2027-07-07,2026-10-11 ~ 2027-01-09,2026-10-09
"라풀렌, LAFULLEN",조직수복용재료,제조,제허 21-941 호,2021-11-23,2026-01-07,2021-11-23 ~ 2026-11-22,2026-02-26 ~ 2026-05-27,2026-02-27
"Croquis PDO Barbed Molding(VM), 크로키 PDO Barbed Molding",폴리디옥사논봉합사,제조,제허 21-496 호,2021-06-21,2025-12-22,2021-06-21 ~ 2026-06-20,2025-09-24 ~ 2025-12-23,2025-09-23
Q-Guard Plus Hemostatic Gauze ,비흡수성체내거즈형지혈용품,제조,제허 20-19 호,2020-01-09,2020-01-09,2020-10-08 ~ 2030-08-31,2029-12-05 ~ 2030-03-05,2029-12-05
Croquis PDO Barbed Cutting,폴리디옥사논봉합사,제조,제허 19-780 호,2019-11-28,2025-12-22,2020-10-08 ~ 2030-07-31,2029-11-04 ~ 2030-02-02,2029-11-02
"Croquis PDO Mono, Croquis PDO Screw",폴리디옥사논봉합사,제조,제허 19-781 호,2019-11-28,2025-12-22,2020-10-08 ~ 2030-07-31,2029-11-04 ~ 2030-02-02,2029-11-02
"(주)삼양바이오팜·폴리디옥사논
봉합사",폴리디옥사논봉합사,제조,제허 18-761 호,2018-11-29,2025-12-22,2020-10-08 ~ 2030-01-31,2029-05-07 ~ 2029-08-05,2029-05-05
모노픽스(MONOFIX) PDO,폴리디옥사논봉합사,제조,제허 18-429 호,2018-06-19,2025-12-22,2020-10-08 ~ 2029-10-31,2029-02-04 ~ 2029-05-05,2029-02-05
모노픽스(MONOFIX) PGCL ,폴리글리카프론봉합사,제조,제허 18-421 호,2018-06-18,2025-12-22,2020-10-08 ~ 2029-10-31,2029-02-04 ~ 2029-05-05,2029-02-05
"(주)삼양바이오팜·폴리디옥사논
봉합사",폴리디옥사논봉합사,제조,제허 17-920 호,2017-12-06,2025-12-22,2020-10-08 ~ 2029-08-31,2028-12-05 ~ 2029-03-05,2028-12-05
Q-Guard ,국소지혈용드레싱 ,제조,제인 17-4277 호,2017-04-12,2021-06-23,2020-10-08 ~ 2029-05-31,2028-09-04 ~ 2028-12-03,2028-09-03
Q-Guard ,국소지혈용드레싱 ,제조,제인 17-4276 호,2017-04-12,2020-08-14,2020-10-08 ~ 2029-05-31,2028-09-04 ~ 2028-12-03,2028-09-03
인터가드,유착방지피복재,제조,제허 14-2994 호,2014-12-11,2020-10-15,2020-10-08 ~ 2028-05-31,2027-09-05 ~ 2027-12-04,2027-09-04
Neosorb Rapid Pro,폴리글락틴봉합사,제조,제허 14-874 호,2014-04-14,2014-04-14,2020-10-08 ~ 2028-02-29,2027-06-05 ~ 2027-09-03,2027-06-03
Monofast Pro,폴리글리카프론봉합사,제조,제허 14-828 호,2014-04-09,2014-04-09,2020-10-08 ~ 2028-02-29,2027-06-05 ~ 2027-09-03,2027-06-03
네오소브 루프,흡수성봉합사의료용봉합기,제조,제허 14-796 호,2014-04-03,2025-12-22,2020-10-08 ~ 2028-02-29,2027-06-05 ~ 2027-09-03,2027-06-03
모노소브 루프,흡수성봉합사의료용봉합기,제조,제허 14-795 호,2014-04-03,2025-12-22,2020-10-08 ~ 2028-02-29,2027-06-05 ~ 2027-09-03,2027-06-03
네오소브메쉬,흡수성이식용메쉬,제조,제허 14-77 호,2014-01-08,2015-06-24,2020-10-08 ~ 2028-01-31,2027-05-07 ~ 2027-08-05,2027-05-05
프로플렉스 컴포지트 메쉬(PROFLEX Composite Mesh),부분흡수성이식용메쉬,제조,제허 13-1890 호,2013-11-07,2022-05-30,2020-10-08 ~ 2027-12-31,2027-04-06 ~ 2027-07-05,2027-04-05
Neosorb Plus,의약품함유봉합사,제조,제허 13-414 호,2013-02-20,2025-12-22,2020-10-08 ~ 2027-09-30,2027-01-04 ~ 2027-04-04,2027-01-04
폴리고겔,유착방지피복재,제조,제허 11-1422 호,2011-12-23,2020-03-17,2020-10-08 ~ 2027-04-30,2026-08-04 ~ 2026-11-02,2026-08-02
네오소브(Neosorb),폴리글락틴봉합사,제조,제허 08-78 호,2008-02-15,2020-04-06,2020-10-08 ~ 2026-05-31,2025-09-04 ~ 2025-12-03,2025-09-03
"(주)삼양바이오팜·부분 흡수성
이식용메쉬,프로플렉스",부분흡수성이식용메쉬,제조,제허 07-401 호,2007-07-20,2011-06-20,2020-10-08 ~ 2026-04-30,2025-08-04 ~ 2025-11-02,2025-08-02
모노소브프로(Monosorb-Pro),폴리디옥사논 봉합사,제조,제허 04-254 호,2004-03-10,2025-06-23,2020-10-08 ~ 2030-09-30,2030-01-04 ~ 2030-04-04,2030-01-04
써지소브 무침,폴리글리콜산 봉합사,제조,제허 97-159 호,1997-12-29,2024-12-19,2020-10-08 ~ 2030-01-31,2029-05-07 ~ 2029-08-05,2029-05-05
써지소브 각침,폴리글리콜산 봉합사,제조,제허 97-158 호,1997-12-29,2025-09-23,2020-10-08 ~ 2030-01-31,2029-05-07 ~ 2029-08-05,2029-05-05
써지소브 무침,폴리글리콜산 봉합사,제조,제허 97-157 호,1997-12-29,2025-01-09,2020-10-08 ~ 2030-01-31,2029-05-07 ~ 2029-08-05,2029-05-05
SERAPRO RSD,재사용가능의료용봉합기,수입,서울 수신 14-1899 호,2014-07-04,2014-07-04,2020-10-08 ~ 2028-04-30,2027-08-05 ~ 2027-11-03 ,2027-08-03
SERASIS,요실금치료용띠,수입,수허 12-399 호,2012-03-14,2025-12-22,2020-10-08 ~ 2027-05-31,2026-09-04 ~ 2026-12-03,2026-09-03
"SERATOM, SERATEX",부분흡수성이식용메쉬,수입,수허 12-398 호,2012-03-14,2025-12-22,2020-10-08 ~ 2027-05-31,2026-09-04 ~ 2026-12-03,2026-09-03
