제품명,허가일,품목유효기간,갱신신청기한,메일알람(3M전),업종,제조/수입,허가번호,품목기준코드,전문/일반,품목분류,허가/신고,유효기간,관계부처
팔제론주(팔로노세트론염산염),2017-02-20,2027-02-19,2026-08-19,2026-05-19,의약품,제조,55,201700895,전문의약품,"최토제, 진토제",허가,제조일로부터 36 개월,대전청
프로테조밉주2.5밀리그램(보르테조밉삼합체),2017-05-29,2027-05-28,2026-11-30,2026-08-30,의약품,제조,56,201702641,전문의약품,항악성종양제,허가,제조일로부터 48 개월,대전청
졸레닉주4밀리그램(졸레드론산일수화물),2012-09-17,2027-06-30,2026-12-30,2026-09-30,의약품,제조,39,201206824,전문의약품,따로 분류되지 않는 대사성 의약품,허가,제조일로부터 36 개월,대전청
레날리드정(레날리도마이드),2017-08-14,2027-08-13,2027-02-15,2026-11-15,의약품,제조,5111,201706587,전문의약품,항악성종양제,허가,제조일로부터 48 개월,식약처
젬시팜주(젬시타빈염산염),2022-10-12,2027-10-11,2027-04-12,2027-01-12,의약품,제조,5126,202203819,전문의약품,항악성종양제,허가,제조일로부터 24개월,대전청
나녹셀엠주20밀리그램(도세탁셀무수물),2012-12-26,2027-12-31,2027-06-30,2027-03-30,의약품,제조,5120,201210747,전문의약품,항악성종양제,허가,제조일로부터 24 개월,식약처
나녹셀엠주80밀리그램(도세탁셀무수물),2012-12-26,2027-12-31,2027-06-30,2027-03-30,의약품,제조,5119,201210748,전문의약품,항악성종양제,허가,제조일로부터 24 개월,식약처
제넥솔피엠주(파클리탁셀),2001-03-30,2027-12-31,2027-06-30,2027-03-30,의약품,제조,5122,200103889,전문의약품,항악성종양제,허가,제조일로부터 36 개월,식약처
넥사틴주5밀리그램/밀리리터(옥살리플라틴),2008-01-10,2027-12-31,2027-06-30,2027-03-30,의약품,제조,31,200800437,전문의약품,항악성종양제,신고,제조일로부터 36 개월,대전청
제넥솔피엠주100밀리그람(파클리탁셀),2001-10-06,2027-12-31,2027-06-30,2027-03-30,의약품,제조,5121,200103890,전문의약품,항악성종양제,허가,제조일로부터 36 개월,식약처
제넥솔주(파클리탁셀),1998-12-11,2027-12-31,2027-06-30,2027-03-30,의약품,제조,5112,199803971,전문의약품,항악성종양제,허가,제조일로부터 36 개월,식약처
아자리드주150밀리그램(아자시티딘),2018-05-31,2028-05-30,2027-11-30,2027-08-30,의약품,제조,5115,201802283,전문의약품,항악성종양제,허가,제조일로부터 48 개월,식약처
니코스탑-20패취(니코틴),1997-01-15,2028-06-30,2027-12-30,2027-09-30,의약품,제조,7,199703584,일반의약품,따로 분류되지 않고 치료를 주목적으로 하지않는 의약품,허가,제조일로부터 3 년,식약처
니코스탑-10패취(니코틴),1997-08-27,2028-06-30,2027-12-30,2027-09-30,의약품,제조,6,199703583,일반의약품,따로 분류되지 않고 치료를 주목적으로 하지않는 의약품,허가,제조일로부터 3 년,식약처
니코스탑-30패취(니코틴),1997-08-27,2028-06-30,2027-12-30,2027-09-30,의약품,제조,8,199703585,일반의약품,따로 분류되지 않고 치료를 주목적으로 하지않는 의약품,허가,제조일로부터 3 년,식약처
데시리드주40밀리그램(데시타빈),2018-07-25,2028-07-24,2028-01-24,2027-10-24,의약품,제조,5117,201803088,전문의약품,항악성종양제,허가,제조일로부터 48 개월,식약처
아자리드주100밀리그램(아자시티딘),2018-08-17,2028-08-16,2028-02-16,2027-11-16,의약품,제조,5116,201803358,전문의약품,항악성종양제,허가,제조일로부터 48 개월,식약처
류마스탑에스플라스타(디클로페낙나트륨),2018-11-16,2028-11-15,2028-05-15,2028-02-15,의약품,제조,5103,201804566,일반의약품,진통.진양.수렴.소염제,신고,제조일로부터 36 개월,대전청
류마스탑파워플라스타(디클로페낙나트륨),2024-07-23,2029-07-22,2029-01-22,2028-10-22,의약품,제조,5127,202401785,일반의약품,진통.진양.수렴.소염제,신고,제조일로부터 36 개월,대전청
페메드에스주(페메트렉시드이나트륨염2.5수화물),2015-05-18,2030-05-17,2029-11-19,2029-08-19,의약품,제조,5113,201502968,전문의약품,항악성종양제,허가,"제조일로부터 16 개월 , 제조일로부터 36 개월",식약처
에베로즈정10밀리그램(에베로리무스),2020-07-09,2030-07-08,2030-01-08,2029-10-08,의약품,제조,5106,202004979,전문의약품,항악성종양제,허가,제조일로부터 36 개월,대전청
에베로즈정2.5밀리그램(에베로리무스),2020-07-09,2030-07-08,2030-01-08,2029-10-08,의약품,제조,5104,202004977,전문의약품,항악성종양제,허가,제조일로부터 36 개월,대전청
에베로즈정5밀리그램(에베로리무스),2020-07-09,2030-07-08,2030-01-08,2029-10-08,의약품,제조,5105,202004978,전문의약품,항악성종양제,허가,제조일로부터 36 개월,대전청
프로테조밉주(보르테조밉삼합체),2015-09-21,2030-09-20,2030-03-20,2029-12-20,의약품,제조,53,201506668,전문의약품,항악성종양제,허가,제조일로부터 36 개월,대전청
벤다리드주25밀리그램(벤다무스틴염산염수화물),2020-12-22,2030-12-21,2030-06-21,2030-03-21,의약품,제조,5108,202009133,전문의약품,항악성종양제,허가,제조일로부터 36개월,대전청
벤다리드주100밀리그램(벤다무스틴염산염수화물),2020-12-22,2030-12-21,2030-06-21,2030-03-21,의약품,제조,5107,202009132,전문의약품,항악성종양제,허가,제조일로부터 36개월,대전청
